"sample_id","patient_id","group","FOLH1_log2_FPKM"
"TP_2077_Tumor","5115409","Positive",7.39747453341877
"TP_2078_Tumor","5115410","Negative",10.5997076404781
"SC_9056_T","9115108","Positive",6.90899154545266
"SC_9137_Tumor","9115422","Positive",7.31004548605642
"SC_9139_Tumor","97115374","Positive",7.93035272706829
"SC_9140_Tumor","97115375","Negative",6.60172941629682
"SC_9142_Tumor","13115379","Negative",1.4706696879171
"MO_1469_T","5115547","Negative",1.48777822168865
"TP_2081_T","5115412","Negative",6.01711296406861
"SC_9074_T","9115184","Positive",8.19835367114732
"SC_9086_T","9115341","Positive",8.57586391500647
"SC_9145_Tumor","9115516","Negative",4.02259657702595
"SC_9148_Tumor","9115515","Positive",5.92679349875096
"SC_9153_Tumor","9115519","Positive",1.70618292669148
"TP_2093_T","5115528","Positive",8.90000556535352
"TP_2096_T","5115506","Positive",9.41972094232655
"SC_9156_Tumor","97115447","Negative",8.71629956026832
"SC_9162_Tumor","97115453","Positive",7.03867277758666
"SC_9163_Tumor","97115454","Positive",8.93905059276264
"SC_9165_Tumor","97115456","Negative",1.39594492923797
"SC_9027_T","9115059","Positive",10.3337910797385
"SC_9175_T","9115524","Positive",11.1889872137463
"MO_1492_T","5115608","Negative",3.17574263579318
"MO_1510_T","5115610","Positive",9.0017925365485
"MO_1511_T","5115611","Positive",7.54593528663556
"MO_1514_T","5115612","Positive",7.81914623732898
"SC_9176_T","9115539","Negative",5.28471989768213
"SC_9178_T","9115541","Positive",3.87054238751168
"SC_9146_T","9115517","Negative",2.13270026299471
"SC_9181_T","9115551","Positive",8.29253921024122
"SC_9183_T","9115552","Positive",8.89606925141044
"MO_1482_T","5115614","Positive",1.45116164135043
"SC_9184_T","97115558","Negative",4.23340814854817
"SC_9186_T","97115560","Positive",7.41822651926169
"SC_9187_T","97115561","Positive",0.445469436871049
"SC_9189_T","97115563","Positive",7.1224489398415
"SC_9190_T","97115564","Positive",9.34477727735246
"SC_9192_T","9115553","Negative",7.24996872181412
"SC_9194_T","9115568","Positive",10.0473603051913
"MO_1556_T","5115651","Positive",8.48788448261272
"SC_9069_T","9115171","Positive",9.69706604694806
"MO_1012-Tumor-Subcutaneous_nodule","6115012","Negative",1.26526682984808
"MO_1013-Tumor","6115013","Negative",2.47171950703453
"MO_1014-Tumor","6115014","Negative",8.17296744360493
"MO_1020-Tumor","5115024","Negative",7.10664951891622
"MO_1015-Tumor","5115023","Positive",1.12389548067279
"MO_1040-Tumor","5115026","Positive",6.75942436691535
"MO_1054-Tumor","5115027","Positive",8.86093287471967
"MO_1071-Tumor","5115028","Positive",6.69033573350748
"MO_1074-Tumor","5115029","Negative",8.11586097163617
"MO_1084-Tumor","5115030","Positive",7.85421255518438
"MO_1094-Tumor","5115031","Negative",1.3520097426256
"MO_1095-Tumor","5115032","Positive",8.17328564392698
"TP_2001-Tumor","5115033","Positive",5.29254388551711
"TP_2010-Tumor","5115057","Negative",9.09136347167126
"TP_2009-Tumor","5115034","Positive",7.67331805505145
"SC_9007-Tumor","9115042","Positive",8.70585956094293
"SC_9012-Tumor","9115046","Negative",9.0694843259042
"MO_1114-Tumor","5115073","Positive",2.82225672009401
"MO_1118-TM","5115258","Positive",0.816947245026957
"MO_1128-Tumor","5115075","Negative",5.61368002452829
"MO_1124-Tumor","5115058","Positive",4.36630599021821
"SC_9016-Tumor","9115050","Positive",9.57109184137334
"SC_9017-Tumor","9115055","Positive",7.18380994023766
"SC_9019-Tumor","9115045","Positive",8.97569919139971
"SC_9022-Tumor","97115001","Positive",1.70374240329745
"SC_9023-Tumor","97115002","Negative",5.25624907870459
"TP_2020-Tumor","5115127","Positive",6.68257265268522
"SC_9026-Tumor","9115060","Positive",9.50159129369115
"SC_9028-Tumor","9115061","Positive",6.24615551730569
"SC_9029-Tumor","9115062","Negative",8.35356208630636
